date,open,high,low,close,adj_close,volume
2021-01-04,100.23106126366233,101.41979966000376,99.51481349947989,100.5889772335264,100.5889772335264,4444107
2021-01-05,100.06389343611123,100.75089313104559,99.71596832264007,99.92691215399275,99.92691215399275,2217563
2021-01-06,99.35195523169905,100.04013202114078,99.20942226830518,99.68515547626843,99.68515547626843,1987760
2021-01-07,101.17210900552546,101.59481384800753,100.97149113966803,101.19590636773164,101.19590636773164,2032068
2021-01-08,99.30791206090714,100.4874040844127,98.59129947636792,99.53924897476077,99.53924897476077,2938811
2021-01-11,97.48023183687165,98.33275792999694,96.98250899895133,97.20159432938114,97.20159432938114,1811174
2021-01-12,96.97579782272358,97.6121674762035,96.75113018558547,97.20048318541585,97.20048318541585,4401361
2021-01-13,95.82769986534811,96.56362308542903,95.53324992227711,96.14449014528881,96.14449014528881,5578331
2021-01-14,95.13689010157783,95.48692245810321,94.37362622211936,95.11152006879671,95.11152006879671,3025257
2021-01-15,92.5310115618466,92.97203073815983,92.27163083151709,92.60760395443302,92.60760395443302,1954442
2021-01-18,95.11425911971668,96.2352860583967,94.98886251874256,95.40090902153229,95.40090902153229,5006978
2021-01-19,98.66915647451783,98.77715595508461,97.6633006405561,98.56544753149007,98.56544753149007,1599437
2021-01-20,98.63984898641579,99.52120271268225,97.76324988410474,99.033514784602,99.033514784602,6163132
2021-01-21,103.5676292497754,104.7669286383594,103.29179022865718,103.78249386611135,103.78249386611135,3678070
2021-01-22,104.10366155781674,104.83671774418623,103.75094967979506,104.22349513135248,104.22349513135248,3869682
2021-01-25,107.92357071159407,108.46901774506469,107.4599469439182,107.75055213795174,107.75055213795174,2743158
2021-01-26,108.28497066242898,108.69768022933091,107.19735103286261,108.00477429647077,108.00477429647077,2979811
2021-01-27,107.51465504382585,107.69368991699655,106.92912446747488,107.27778584917003,107.27778584917003,2021023
2021-01-28,107.84986708248992,108.20878053708773,106.83790662266183,107.88293326626747,107.88293326626747,4906050
2021-01-29,108.37969111019821,109.10468331321322,107.46401611193264,108.90711212334843,108.90711212334843,2022895
2021-02-01,109.92164950415577,110.15691424640994,109.14427355812326,109.83575666239425,109.83575666239425,5763812
2021-02-02,109.46399194578485,109.7345485007538,109.02459281078131,109.14251518890943,109.14251518890943,2793439
2021-02-03,113.75927738374376,114.1822645106103,112.46293371789243,113.47891322614075,113.47891322614075,4958057
2021-02-04,113.77886529164135,113.90392534507555,112.8153474979247,113.67356642113873,113.67356642113873,4757948
2021-02-05,112.91042560259291,114.26036935156256,111.99684854168042,113.17935990059777,113.17935990059777,5433934
2021-02-08,111.34140824060397,111.69411115403493,111.15809275754543,111.45844655396948,111.45844655396948,6306669
2021-02-09,113.86076497629394,114.36725635463023,112.58453107223458,113.42124430205823,113.42124430205823,4924188
2021-02-10,113.44427982763679,114.7804859295689,112.50935088727945,113.76617537474525,113.76617537474525,6969436
