group_name,group_value,horizon,n,positive_rate,negative_rate,mean_car_sector_adj,median_car_sector_adj,std_car_sector_adj,stderr_car_sector_adj,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
all,all,1,67,0.417910447761194,0.582089552238806,-0.06848756700456653,-0.012823256547424926,0.29658277838012637,0.03623335324034925,-0.032872068356866804,-0.012741388903409034,0.15139597578856964
binary_catalyst_flag,true,1,47,0.3829787234042553,0.6170212765957447,-0.10463132569603235,-0.01663780516499853,0.3338845024375519,0.048702060109332264,-0.059082899392598115,-0.01650016130576437,0.17024462389932107
binary_catalyst_flag,false,1,20,0.5,0.5,0.016450265920378182,0.005251273012374354,0.15756919415456266,0.03523354292894646,0.028723384577101753,0.005284452951772989,0.10710165272830383
biotech_catalyst_event_type,phase_3_readout,1,24,0.4583333333333333,0.5416666666666666,-0.08966198254703157,-0.006337227399015166,0.3266008343179709,0.06666711613719149,-0.04712008883921091,-0.006302803200192053,0.18247832188799465
biotech_catalyst_event_type,fda_approval,1,9,0.5555555555555556,0.4444444444444444,0.03979245563673647,0.019226126922619966,0.07206943492562791,0.024023144975209302,0.04306184472501817,0.01941213908626871,0.05415257717382639
biotech_catalyst_event_type,safety_signal,1,9,0.3333333333333333,0.6666666666666666,-0.0704978979242561,-0.04581389144264457,0.1239137055013767,0.0413045685004589,-0.0618732583889455,-0.044780279786856614,0.10039379823784718
biotech_catalyst_event_type,phase_2_readout,1,8,0.125,0.875,-0.04624221342766446,-0.07450249945327654,0.14311449695880757,0.05059861564283718,-0.0360088012734838,-0.0717948459395854,0.11511039254037855
biotech_catalyst_event_type,fda_complete_response_letter,1,5,0.6,0.4,-0.19896611418075033,0.01152786098920108,0.7913604590035108,0.3539071562074571,0.003809168756034942,0.011594562842176082,0.476381748121249
biotech_catalyst_event_type,breakthrough_designation,1,4,0.5,0.5,-0.01111365691646542,-0.0038898174449819717,0.030053753702632163,0.015026876851316082,-0.010718522782512202,-0.003764927745997848,0.023602997406037142
biotech_catalyst_event_type,priority_review,1,3,0.6666666666666666,0.3333333333333333,0.0027463230508952365,0.014317611456743814,0.09005311495053897,0.05199219015805799,0.0054471176684488904,0.01442059938235718,0.06443507881884508
biotech_catalyst_event_type,trial_discontinuation,1,2,0.0,1.0,-0.06899301970492866,-0.06899301970492866,0.009649577860329953,0.006823281940626885,-0.06664507824002164,-0.06664507824002164,0.06899301970492866
biotech_catalyst_event_type,trial_halt,1,1,1.0,0.0,0.011588838027998937,0.011588838027998937,,,0.011656248763775467,0.011656248763775467,0.011588838027998937
biotech_catalyst_event_type,pivotal_trial_readout,1,1,0.0,1.0,-0.03630489205648779,-0.03630489205648779,,,-0.03565377284820581,-0.03565377284820581,0.03630489205648779
biotech_catalyst_event_type,endpoint_failure,1,1,0.0,1.0,-0.5967443973129318,-0.5967443973129318,,,-0.4493987396967971,-0.4493987396967971,0.5967443973129318
