group_name,group_value,horizon,n,positive_rate,negative_rate,mean_car_sector_adj,median_car_sector_adj,std_car_sector_adj,stderr_car_sector_adj,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
all,all,1,97,0.4020618556701031,0.5979381443298969,-0.019299232924941765,-0.01283164016800621,0.1842718429068038,0.01870997090375279,-0.00312794902628481,-0.012749665670325316,0.10605122273877508
binary_catalyst_flag,true,1,68,0.38235294117647056,0.6176470588235294,-0.0359999910505339,-0.013284707641208319,0.17394772227037195,0.02109425977224556,-0.02245858019513122,-0.013196765132487132,0.10280135870665533
binary_catalyst_flag,false,1,29,0.4482758620689655,0.5517241379310345,0.019861165438515637,-0.007217440636606889,0.20433469356286457,0.0379440000224604,0.04219904819721712,-0.007191457460192341,0.113671593572711
biotech_catalyst_event_type,fda_approval,1,24,0.4583333333333333,0.5416666666666666,0.021503013139570367,-0.0029729620802276266,0.09455708174046619,0.019301383485898542,0.02623960185080477,-0.002968537890054135,0.06199747334619294
biotech_catalyst_event_type,phase_3_readout,1,16,0.5,0.5,0.06762539750634891,-0.002065193460256771,0.21317466048403463,0.05329366512100866,0.09661715914053853,-0.0020609315564974473,0.11939326424291037
biotech_catalyst_event_type,trial_halt,1,14,0.2857142857142857,0.7142857142857143,-0.10769820325105468,-0.0490817727537845,0.27776118133151173,0.07423479827772193,-0.07552046532793784,-0.047895255716204066,0.15984072260854393
biotech_catalyst_event_type,trial_discontinuation,1,9,0.2222222222222222,0.7777777777777778,-0.10761897976321344,-0.08869802043704186,0.15857104814524833,0.05285701604841611,-0.09204436746994141,-0.08487812004172501,0.14659266503977114
biotech_catalyst_event_type,orphan_drug_designation,1,7,0.42857142857142855,0.5714285714285714,0.008863917022046959,-0.007217440636606889,0.05527679118469519,0.020892663249764413,0.010227012724767543,-0.007191457460192341,0.04003743494208419
biotech_catalyst_event_type,fda_complete_response_letter,1,6,0.0,1.0,-0.08642799427261781,-0.03429851819987688,0.11209805543184015,0.0457638394943721,-0.07816818365069922,-0.03366369895714133,0.08642799427261781
biotech_catalyst_event_type,pivotal_trial_readout,1,5,0.4,0.6,-0.038119925232099006,-0.03984201349287136,0.1509912851817209,0.06752535553527692,-0.02873182157562675,-0.03905875708894202,0.10086575426008224
